# Lane-Emden n=1.5 solution (2D)
# Generated with solve_lane_emden.py
# Points: 883
# xi_1 = 3.000000000000000e+01
# dtheta_1 = -4.009858856718875e-01
# Format: xi  theta  dtheta/dxi
2.700270027002700e-01  9.818953324056907e-01  -1.331816097057616e-01
2.730273027302730e-01  9.814935889779132e-01  -1.346203359552654e-01
2.760276027602760e-01  9.810875309570517e-01  -1.360577150958946e-01
2.790279027902790e-01  9.806771624058684e-01  -1.374937331049254e-01
2.820282028202820e-01  9.802624874291631e-01  -1.389283759848234e-01
2.850285028502850e-01  9.798435101736979e-01  -1.403616297634989e-01
2.880288028802880e-01  9.794202348281215e-01  -1.417934804945599e-01
2.910291029102910e-01  9.789926656228927e-01  -1.432239142575647e-01
2.940294029402940e-01  9.785608068302024e-01  -1.446529171582708e-01
2.970297029702970e-01  9.781246627638943e-01  -1.460804753288836e-01
3.000300030003000e-01  9.776842377793844e-01  -1.475065749283009e-01
3.030303030303030e-01  9.772395362735790e-01  -1.489312021423561e-01
3.060306030603060e-01  9.767905626847920e-01  -1.503543431840573e-01
3.090309030903090e-01  9.763373214926595e-01  -1.517759842938236e-01
3.120312031203120e-01  9.758798172180536e-01  -1.531961117397179e-01
3.150315031503150e-01  9.754180544229938e-01  -1.546147118176757e-01
3.180318031803180e-01  9.749520377105577e-01  -1.560317708517298e-01
3.210321032103210e-01  9.744817717247884e-01  -1.574472751942308e-01
3.240324032403240e-01  9.740072611506015e-01  -1.588612112260626e-01
3.270327032703270e-01  9.735285107136885e-01  -1.602735653568535e-01
3.300330033003300e-01  9.730455251805324e-01  -1.616843240255211e-01
3.330333033303330e-01  9.725583093584834e-01  -1.630934737010328e-01
3.360336033603360e-01  9.720668680952433e-01  -1.645010008813664e-01
3.390339033903390e-01  9.715712062789807e-01  -1.659068920943202e-01
3.420342034203420e-01  9.710713288382513e-01  -1.673111338977843e-01
3.450345034503450e-01  9.705672407419045e-01  -1.687137128799694e-01
3.480348034803480e-01  9.700589469989892e-01  -1.701146156596369e-01
3.510351035103510e-01  9.695464526586605e-01  -1.715138288863276e-01
3.540354035403540e-01  9.690297628100837e-01  -1.729113392405916e-01
3.570357035703570e-01  9.685088825823407e-01  -1.743071334342171e-01
3.600360036003600e-01  9.679838171443336e-01  -1.757011982104596e-01
3.630363036303630e-01  9.674545717046897e-01  -1.770935203442704e-01
3.660366036603660e-01  9.669211515116650e-01  -1.784840866425256e-01
3.690369036903690e-01  9.663835618530480e-01  -1.798728839442537e-01
3.720372037203720e-01  9.658418080560617e-01  -1.812598991208638e-01
3.750375037503750e-01  9.652958954872672e-01  -1.826451190763723e-01
3.780378037803780e-01  9.647458295524652e-01  -1.840285307476301e-01
3.810381038103810e-01  9.641916156965972e-01  -1.854101211045490e-01
3.840384038403840e-01  9.636332594036464e-01  -1.867898771503265e-01
3.870387038703870e-01  9.630707661965386e-01  -1.881677859216714e-01
3.900390039003900e-01  9.625041416370415e-01  -1.895438344890275e-01
3.930393039303930e-01  9.619333913256637e-01  -1.909180099567973e-01
3.960396039603960e-01  9.613585209015534e-01  -1.922902994635644e-01
3.990399039903990e-01  9.607795360423964e-01  -1.936606901823149e-01
4.020402040204020e-01  9.601964424643132e-01  -1.950291693206582e-01
4.050405040504050e-01  9.596092459217553e-01  -1.963957241210468e-01
4.080408040804080e-01  9.590179522074013e-01  -1.977603418609946e-01
4.110411041104110e-01  9.584225671520514e-01  -1.991230098532945e-01
4.140414041404140e-01  9.578230966245230e-01  -2.004837154462348e-01
4.170417041704170e-01  9.572195465315427e-01  -2.018424460238137e-01
4.200420042004200e-01  9.566119228176402e-01  -2.031991890059536e-01
4.230423042304230e-01  9.560002314650393e-01  -2.045539318487134e-01
4.260426042604260e-01  9.553844784935503e-01  -2.059066620444992e-01
4.290429042904290e-01  9.547646699604589e-01  -2.072573671222740e-01
4.320432043204320e-01  9.541408119604168e-01  -2.086060346477658e-01
4.350435043504350e-01  9.535129106253292e-01  -2.099526522236739e-01
4.380438043804380e-01  9.528809721242429e-01  -2.112972074898738e-01
4.410441044104410e-01  9.522450026632334e-01  -2.126396881236204e-01
4.440444044404440e-01  9.516050084852896e-01  -2.139800818397493e-01
4.470447044704470e-01  9.509609958701994e-01  -2.153183763908764e-01
4.500450045004500e-01  9.503129711344330e-01  -2.166545595675959e-01
4.530453045304530e-01  9.496609406310260e-01  -2.179886191986756e-01
4.560456045604560e-01  9.490049107494606e-01  -2.193205431512518e-01
4.590459045904590e-01  9.483448879155467e-01  -2.206503193310201e-01
4.620462046204620e-01  9.476808785913013e-01  -2.219779356824259e-01
4.650465046504650e-01  9.470128892748272e-01  -2.233033801888521e-01
4.680468046804680e-01  9.463409265001896e-01  -2.246266408728042e-01
4.710471047104710e-01  9.456649968372934e-01  -2.259477057960939e-01
4.740474047404740e-01  9.449851068917700e-01  -2.272665630600469e-01
4.770477047704770e-01  9.443012633052970e-01  -2.285832008066506e-01
4.800480048004800e-01  9.436134727549816e-01  -2.298976072176711e-01
4.830483048304830e-01  9.429217419531566e-01  -2.312097705146587e-01
4.860486048604860e-01  9.422260776474393e-01  -2.325196789595284e-01
4.890489048904890e-01  9.415264866206097e-01  -2.338273208547475e-01
4.920492049204920e-01  9.408229756904872e-01  -2.351326845435223e-01
