# Lane-Emden solution for 3D geometry, n=1.5
# xi_1 = 3.6537540101e+00
# dtheta_1 = -2.0331244769e-01
# n_points = 366
# Columns: xi  theta  dtheta/dxi
1.9419419420e+00  5.1761634972e-01  -3.7388655816e-01
1.9519519520e+00  5.1387440807e-01  -3.7375020126e-01
1.9619619620e+00  5.1013392716e-01  -3.7359473055e-01
1.9719719721e+00  5.0639509756e-01  -3.7342028796e-01
1.9819819821e+00  5.0265810845e-01  -3.7322701668e-01
1.9919919921e+00  4.9892314757e-01  -3.7301506120e-01
2.0020020021e+00  4.9519040126e-01  -3.7278456725e-01
2.0120120121e+00  4.9146005437e-01  -3.7253568168e-01
2.0220220221e+00  4.8773229022e-01  -3.7226855243e-01
2.0320320321e+00  4.8400729074e-01  -3.7198332889e-01
2.0420420421e+00  4.8028523634e-01  -3.7168016139e-01
2.0520520521e+00  4.7656630588e-01  -3.7135920124e-01
2.0620620621e+00  4.7285067667e-01  -3.7102060068e-01
2.0720720722e+00  4.6913852452e-01  -3.7066451289e-01
2.0820820822e+00  4.6543002367e-01  -3.7029109203e-01
2.0920920922e+00  4.6172534683e-01  -3.6990049318e-01
2.1021021022e+00  4.5802466518e-01  -3.6949287239e-01
2.1121121122e+00  4.5432814836e-01  -3.6906838664e-01
2.1221221222e+00  4.5063596439e-01  -3.6862719360e-01
2.1321321322e+00  4.4694827970e-01  -3.6816945185e-01
2.1421421422e+00  4.4326525919e-01  -3.6769532100e-01
2.1521521522e+00  4.3958706613e-01  -3.6720496129e-01
2.1621621622e+00  4.3591386217e-01  -3.6669853359e-01
2.1721721723e+00  4.3224580731e-01  -3.6617619941e-01
2.1821821823e+00  4.2858305997e-01  -3.6563812088e-01
2.1921921923e+00  4.2492577690e-01  -3.6508446076e-01
2.2022022023e+00  4.2127411325e-01  -3.6451538246e-01
2.2122122123e+00  4.1762822254e-01  -3.6393104999e-01
2.2222222223e+00  4.1398825666e-01  -3.6333162802e-01
2.2322322323e+00  4.1035436584e-01  -3.6271728163e-01
2.2422422423e+00  4.0672669863e-01  -3.6208817636e-01
2.2522522523e+00  4.0310540195e-01  -3.6144447856e-01
2.2622622623e+00  3.9949062106e-01  -3.6078635493e-01
2.2722722723e+00  3.9588249951e-01  -3.6011397248e-01
