x,p,rho,vx
-0.23166225593676912,0.9286213068869046,0.9560598002966527,0.10953664784249698
-0.22645856564285952,0.9116830898514039,0.9442979986522964,0.1375628207540231
-0.22119267244610402,0.8809335100618201,0.9237512503606209,0.15872258009770412
-0.21579396236573511,0.833743991442965,0.8929373303436194,0.17081562257229424
-0.21017280613386796,0.7731237741181124,0.8535730861230617,0.17406732491866875
-0.20424916680934194,0.7078881416667545,0.8106391645790367,0.17215635514786162
-0.19798740723814542,0.6486892620362237,0.7704854839670537,0.17136967768019584
-0.19141451338768395,0.6025477872369164,0.7378380387050686,0.17747565908866172
-0.18460358798573934,0.5701819940531453,0.7137491552723096,0.19242285386661517
-0.17763309615938724,0.547590561787423,0.6960109548692237,0.21394663381941434
-0.17055255820773563,0.5294465388076047,0.6812146895350695,0.2379437479641713
-0.1633726251158877,0.5116248829529051,0.6665874265312094,0.2609658685661485
-0.15607512518403224,0.49215080454724747,0.650752464663738,0.28131747429911286
-0.14863060404214365,0.4709766964353242,0.6336168987471784,0.2989360577992749
-0.1410137140876317,0.44915495178795084,0.6158419450801058,0.3146895119563974
-0.13321116909560526,0.42793654661306413,0.5982756525616706,0.32958839715968474
-0.12522245778417085,0.40820000587887895,0.5815751833326843,0.3442384573896253
-0.11705543344278192,0.3903281431781623,0.5660953178633378,0.3586852862236576
-0.1087212053271074,0.3743843319418383,0.5519916609236684,0.37257897778834304
-0.10023263244640547,0.36033693266771166,0.5393318404113258,0.3854360349212545
-0.09160191712645768,0.34818387498359676,0.5282086800598703,0.39684193552816294
-0.08284501367723927,0.33796743262227846,0.5187244503090904,0.40652914140341995
-0.07397903971999932,0.32970237914241174,0.5109253914897786,0.41438744415617224
-0.06502214241072306,0.32331372228897476,0.504853848637967,0.4204587265083825
-0.05599908595734979,0.3186106284811003,0.5003236605234799,0.4249201843403588
-0.04692115864197114,0.31526997050523486,0.49719064706778127,0.4280509633802429
-0.03781630204255558,0.3129693622599399,0.4950700983687547,0.4302100027252357
-0.028683942877045423,0.3114052753996431,0.4935879569589885,0.4316819586279384
-0.019537747773583768,0.3103259468390251,0.49264823753567794,0.4327109060585627
-0.010383645834297487,0.3096109800036065,0.4919711728635503,0.43343704127696864
-0.0012171263684264725,0.3091431082261198,0.4916918711201491,0.4338745319488174
0.007942213661223822,0.3088476068352226,0.4917264616087497,0.43408502728687726
0.017104095437046198,0.30873676002646055,0.4919179188911692,0.43412013169716407
0.026255977001799758,0.3087432048669312,0.49220197490550305,0.4340570718988625
0.03540697150775877,0.30878569131009176,0.49246890060256304,0.4339883838091959
0.044549915919364504,0.30885712141023725,0.49268584410271593,0.4340031503798531
0.05369167114154101,0.30880434607611307,0.4928094179256946,0.43399329499092176
0.06283129960883449,0.308577514510942,0.49294683866752986,0.43386473174082485
0.07196864239889347,0.3083515500413669,0.4930396770464006,0.4336806628240097
0.08110621892005204,0.3082525510310281,0.49294665190139086,0.4334390558182612
0.09024494156703677,0.3086524130191199,0.49221337870582244,0.43304719129128955
0.09941176284420337,0.3104897454394177,0.4904330760845179,0.4329647511271539
0.10861735001404968,0.31460130583654555,0.4874336048983081,0.43322781658200366
0.11789074741203831,0.3215123737645529,0.4850170824646092,0.43389222810153427
0.12730328869136917,0.3287479778997383,0.500219087273675,0.4345582183223031
0.13611679325756468,0.32331020701778773,0.5585281513359769,0.43222499724239866
0.1440141145309368,0.30062369618374213,0.7143116265097185,0.4310560980545217
0.1494930431654489,0.2769876937887283,0.11440123475819049,0.42877777149024215
0.1542634065896354,0.269575239496622,0.14412652800460374,0.43261000700785984
0.15761801845583528,0.267636543364965,0.17301290546321532,0.43174831442144307
0.16086646400771906,0.270013745942186,0.2000616095202188,0.4346649796178434
0.16329022752074968,0.2759745842639581,0.2202661218909765,0.4322508486568362
0.16597385949247512,0.283942958360004,0.2356988477195893,0.4343240791406328
0.16806511778216904,0.29167590299522306,0.2438946804912578,0.43336848681720874
0.17053696568889448,0.29858967411942144,0.24310067905155508,0.4338866722081201
0.1727385001418334,0.30360135003005795,0.24495872206697186,0.4349043358090463
0.17508939018762817,0.3071905259818978,0.24142492940736135,0.43333539355907663
0.17743029264724708,0.30893078865130347,0.24052748081949887,0.43335023894569613
0.17976973121360112,0.3098181710648433,0.24028535102059664,0.4324306813596449
0.1821259707357592,0.3100649662689803,0.24085985276054028,0.43191604967949077
0.18445119764331175,0.31072738494126867,0.2417766486465068,0.4309486210771243
0.18679038129219833,0.31147076659809597,0.2425412471739056,0.43010355246587556
0.1891043138462173,0.3122070141438407,0.2432005741666338,0.42952324419046456
0.19142942314140352,0.3126036479017333,0.24338438441738117,0.42923024749802174
0.19374355826795386,0.31236305867415237,0.24341097348982754,0.42943581491452404
0.19606484888979875,0.31143907810149074,0.24295401073985778,0.4301768530190598
0.19838832143986862,0.3098524831525163,0.24230319392271654,0.43155455382801006
0.20071745955409045,0.3077202233809213,0.24134419279007308,0.43361079612367515
0.20305514328019075,0.30516743437153426,0.2401900576769467,0.4363195176045963
0.20540000028358085,0.30228919103317076,0.2388978848916439,0.4395535204349784
0.20775453087306506,0.2992088525129674,0.23747854706132773,0.4431213516253395
0.21011899442184703,0.29614244854204413,0.2361006634646231,0.4466981535576412
0.21249156049843962,0.2934600073599241,0.23487583530627537,0.4498759867436386
0.21487343985646412,0.29170996064909677,0.23412168960964524,0.45205238703137957
0.21725596719807458,0.2915879395647358,0.23412104092533534,0.45248962796256026
0.21963772055794656,0.2938059020603108,0.23522764333929302,0.45033852477367203
0.22200445615347977,0.2989075289153703,0.23768654100757533,0.4450311577916537
0.2243510228317397,0.306994714540593,0.24148444723918328,0.4365351566096373
0.22666533660432286,0.31743361959222083,0.2463704181637182,0.425765611530853
0.22894361272508104,0.3289074916795033,0.2516414668216548,0.4143397177474454
