# Lane-Emden solution for 2D geometry, n=1.5
# xi_1 = 2.6477815002e+00
# dtheta_1 = -4.0153529219e-01
# n_points = 265
# Columns: xi  theta  dtheta/dxi
4.1041041051e-01  9.5854806276e-01  -1.9883672412e-01
4.2042042052e-01  9.5653499617e-01  -2.0337016551e-01
4.3043043053e-01  9.5447666119e-01  -2.0788132573e-01
4.4044044054e-01  9.5237328328e-01  -2.1236974237e-01
4.5045045055e-01  9.5022509236e-01  -2.1683495759e-01
4.6046046056e-01  9.4803232283e-01  -2.2127651810e-01
4.7047047057e-01  9.4579521356e-01  -2.2569397515e-01
4.8048048058e-01  9.4351400787e-01  -2.3008688457e-01
4.9049049059e-01  9.4118895357e-01  -2.3445480672e-01
5.0050050060e-01  9.3882030279e-01  -2.3879730709e-01
5.1051051061e-01  9.3640831216e-01  -2.4311395745e-01
5.2052052062e-01  9.3395324301e-01  -2.4740433419e-01
5.3053053063e-01  9.3145536068e-01  -2.5166801902e-01
5.4054054064e-01  9.2891493449e-01  -2.5590459898e-01
5.5055055065e-01  9.2633223771e-01  -2.6011366649e-01
5.6056056065e-01  9.2370754763e-01  -2.6429481933e-01
5.7057057066e-01  9.2104114550e-01  -2.6844766061e-01
5.8058058067e-01  9.1833331656e-01  -2.7257179882e-01
5.9059059068e-01  9.1558435002e-01  -2.7666684782e-01
6.0060060069e-01  9.1279453870e-01  -2.8073242775e-01
6.1061061070e-01  9.0996417976e-01  -2.8476816472e-01
6.2062062071e-01  9.0709357413e-01  -2.8877369051e-01
6.3063063072e-01  9.0418302621e-01  -2.9274864287e-01
6.4064064073e-01  9.0123284379e-01  -2.9669266554e-01
6.5065065074e-01  8.9824333812e-01  -3.0060540821e-01
6.6066066075e-01  8.9521482388e-01  -3.0448652653e-01
6.7067067076e-01  8.9214761919e-01  -3.0833568214e-01
6.8068068077e-01  8.8904204557e-01  -3.1215254266e-01
6.9069069078e-01  8.8589842787e-01  -3.1593678181e-01
7.0070070079e-01  8.8271709408e-01  -3.1968808017e-01
7.1071071080e-01  8.7949837595e-01  -3.2340612445e-01
7.2072072081e-01  8.7624260816e-01  -3.2709060775e-01
7.3073073082e-01  8.7295012824e-01  -3.3074122954e-01
7.4074074083e-01  8.6962127653e-01  -3.3435769575e-01
7.5075075084e-01  8.6625639622e-01  -3.3793971869e-01
7.6076076085e-01  8.6285583332e-01  -3.4148701710e-01
7.7077077086e-01  8.5941993670e-01  -3.4499931614e-01
7.8078078087e-01  8.5594905805e-01  -3.4847634738e-01
7.9079079088e-01  8.5244355149e-01  -3.5191784911e-01
8.0080080089e-01  8.4890377409e-01  -3.5532356658e-01
8.1081081090e-01  8.4533008572e-01  -3.5869325157e-01
8.2082082091e-01  8.4172284847e-01  -3.6202666258e-01
8.3083083092e-01  8.3808242661e-01  -3.6532356477e-01
8.4084084093e-01  8.3440918661e-01  -3.6858373000e-01
8.5085085094e-01  8.3070349716e-01  -3.7180693685e-01
8.6086086095e-01  8.2696572913e-01  -3.7499297055e-01
8.7087087096e-01  8.2319625559e-01  -3.7814162306e-01
8.8088088097e-01  8.1939545177e-01  -3.8125269300e-01
8.9089089098e-01  8.1556369455e-01  -3.8432598604e-01
9.0090090099e-01  8.1170136339e-01  -3.8736131479e-01
9.1091091100e-01  8.0780883957e-01  -3.9035849869e-01
9.2092092101e-01  8.0388650591e-01  -3.9331736396e-01
9.3093093102e-01  7.9993474678e-01  -3.9623774362e-01
9.4094094103e-01  7.9595394808e-01  -3.9911947752e-01
9.5095095104e-01  7.9194449723e-01  -4.0196241229e-01
9.6096096105e-01  7.8790678321e-01  -4.0476640136e-01
9.7097097106e-01  7.8384119655e-01  -4.0753130497e-01
9.8098098107e-01  7.7974812915e-01  -4.1025699017e-01
9.9099099108e-01  7.7562797397e-01  -4.1294333095e-01
1.0010010011e+00  7.7148112591e-01  -4.1559020839e-01
1.0110110111e+00  7.6730798085e-01  -4.1819751032e-01
1.0210210211e+00  7.6310893556e-01  -4.2076513132e-01
1.0310310311e+00  7.5888438766e-01  -4.2329297271e-01
1.0410410411e+00  7.5463473565e-01  -4.2578094259e-01
1.0510510511e+00  7.5036037889e-01  -4.2822895579e-01
1.0610610612e+00  7.4606171763e-01  -4.3063693390e-01
1.0710710712e+00  7.4173915297e-01  -4.3300480524e-01
1.0810810812e+00  7.3739308667e-01  -4.3533250485e-01
1.0910910912e+00  7.3302392097e-01  -4.3761997452e-01
1.1011011012e+00  7.2863205928e-01  -4.3986716306e-01
1.1111111112e+00  7.2421790531e-01  -4.4207402583e-01
1.1211211212e+00  7.1978186297e-01  -4.4424052473e-01
1.1311311312e+00  7.1532433638e-01  -4.4636662824e-01
1.1411411412e+00  7.1084572986e-01  -4.4845231133e-01
1.1511511512e+00  7.0634644794e-01  -4.5049755557e-01
1.1611611612e+00  7.0182689537e-01  -4.5250234904e-01
1.1711711713e+00  6.9728747710e-01  -4.5446668636e-01
1.1811811813e+00  6.9272859805e-01  -4.5639056860e-01
1.1911911913e+00  6.8815066297e-01  -4.5827400322e-01
1.2012012013e+00  6.8355407713e-01  -4.6011700452e-01
1.2112112113e+00  6.7893924540e-01  -4.6191959302e-01
1.2212212213e+00  6.7430657224e-01  -4.6368179543e-01
1.2312312313e+00  6.6965646168e-01  -4.6540364467e-01
1.2412412413e+00  6.6498931730e-01  -4.6708517986e-01
1.2512512513e+00  6.6030554226e-01  -4.6872644631e-01
1.2612612613e+00  6.5560553928e-01  -4.7032749553e-01
1.2712712714e+00  6.5088971064e-01  -4.7188838524e-01
1.2812812814e+00  6.4615845804e-01  -4.7340917920e-01
1.2912912914e+00  6.4141218227e-01  -4.7488994706e-01
1.3013013014e+00  6.3665128402e-01  -4.7633076498e-01
1.3113113114e+00  6.3187616304e-01  -4.7773171496e-01
1.3213213214e+00  6.2708721805e-01  -4.7909288469e-01
1.3313313314e+00  6.2228484671e-01  -4.8041436762e-01
1.3413413414e+00  6.1746944565e-01  -4.8169626293e-01
1.3513513514e+00  6.1264141047e-01  -4.8293867551e-01
1.3613613614e+00  6.0780113571e-01  -4.8414171601e-01
1.3713713715e+00  6.0294901490e-01  -4.8530550080e-01
1.3813813815e+00  5.9808544044e-01  -4.8643015190e-01
1.3913913915e+00  5.9321080314e-01  -4.8751579648e-01
1.4014014015e+00  5.8832549314e-01  -4.8856256785e-01
1.4114114115e+00  5.8342989914e-01  -4.8957060465e-01
1.4214214215e+00  5.7852440826e-01  -4.9054005073e-01
1.4314314315e+00  5.7360940602e-01  -4.9147105506e-01
1.4414414415e+00  5.6868527632e-01  -4.9236377182e-01
1.4514514515e+00  5.6375240148e-01  -4.9321836033e-01
1.4614614615e+00  5.5881116223e-01  -4.9403498508e-01
