# Energy log for SPH simulation
# Units: Code
# Time unit: code_time
# Energy unit: code_energy
# Columns: time  kinetic  thermal  potential  total
#
4.6217252192407693e-01  8.2613173305868841e+03  9.4779377913314704e+01  -8.4426702171587895e+03  -8.6573508658590072e+01
4.8188561539077934e-01  8.3297032247756833e+03  9.6297869004059777e+01  -8.5125708944705639e+03  -8.6569800690820557e+01
5.0135679100568276e-01  8.3998981173095890e+03  9.7646480579603434e+01  -8.5841138088170628e+03  -8.6569210927869790e+01
5.2094377572571804e-01  8.4733669516730333e+03  9.8815974986417103e+01  -8.6587520226577126e+03  -8.6569095998262128e+01
5.4072273053682129e-01  8.5505702814236683e+03  9.9880801369986969e+01  -8.7370189847139918e+03  -8.6567901920336226e+01
5.6065265720054058e-01  8.6317037988327338e+03  1.0075944409094426e+02  -8.8190304448534407e+03  -8.6567201929763542e+01
5.8047838542496832e-01  8.7158932708917255e+03  1.0150694001175671e+02  -8.9039655456929777e+03  -8.6565334789494955e+01
6.0088464363659555e-01  8.8064299145911209e+03  1.0213883546659170e+02  -8.9951320918246674e+03  -8.6563341766954181e+01
6.2162524125588348e-01  8.9027643939564914e+03  1.0265038559466701e+02  -9.0919759317825046e+03  -8.6561152231346568e+01
6.4234731462628569e-01  9.0036999577631177e+03  1.0301522683004450e+02  -9.1932739968387359e+03  -8.6558812245573790e+01
6.6075089716638269e-01  9.0975187589023826e+03  1.0326245635043345e+02  -9.2873372306357178e+03  -8.6556015382901023e+01
6.8205504021792751e-01  9.2114323877576699e+03  1.0344366124704206e+02  -9.4014284774211992e+03  -8.6552428416487601e+01
7.0126318234481499e-01  9.3194010141214530e+03  1.0351827739468688e+02  -9.5094683274055060e+03  -8.6549035889365769e+01
7.2062034138112274e-01  9.4336459136000540e+03  1.0353729650283208e+02  -9.6237288308928437e+03  -8.6545620789956956e+01
7.4257199696935439e-01  9.5703993202967686e+03  1.0347259297190044e+02  -9.7604133636144288e+03  -8.6541450345759586e+01
7.6207091525434967e-01  9.6988284942266200e+03  1.0336752944211187e+02  -9.8887335275868081e+03  -8.6537503918076254e+01
7.8172414595486772e-01  9.8354851191875714e+03  1.0324257509033414e+02  -1.0025261230805967e+04  -8.6533536528060722e+01
8.0162800823455782e-01  9.9819700256075866e+03  1.0307744187770311e+02  -1.0171577220311852e+04  -8.6529752826561889e+01
8.2148401513246527e-01  1.0136973109768345e+04  1.0289384690667596e+02  -1.0326392828294229e+04  -8.6525871619207464e+01
8.4150632489168642e-01  1.0303144028913672e+04  1.0269438265484715e+02  -1.0492359471445659e+04  -8.6521059877140942e+01
8.6195920731504960e-01  1.0484205727418670e+04  1.0247198006583079e+02  -1.0673193885597286e+04  -8.6516178112784473e+01
8.8289876956991620e-01  1.0682746544588501e+04  1.0223400799177023e+02  -1.0871491691237665e+04  -8.6511138657393531e+01
9.0082404311566144e-01  1.0864489195839680e+04  1.0202197107411399e+02  -1.1053017725509448e+04  -8.6506558595652677e+01
9.2210513986997666e-01  1.1096060229252216e+04  1.0176234971275653e+02  -1.1284323216127421e+04  -8.6500637162447674e+01
9.4300969943363089e-01  1.1342350266007950e+04  1.0149233288511375e+02  -1.1530336266556038e+04  -8.6493667662973166e+01
9.6098162525835917e-01  1.1570949920026142e+04  1.0126101613379217e+02  -1.1758698557584697e+04  -8.6487621424763347e+01
9.8140915885226943e-01  1.1852296438784315e+04  1.0101212651509080e+02  -1.2039788931941888e+04  -8.6480366642483204e+01
1.0024684585170667e+00  1.2169805401656740e+04  1.0076228645905285e+02  -1.2357039141237872e+04  -8.6471453122079765e+01
1.0228697755833196e+00  1.2508273461939558e+04  1.0051345340299837e+02  -1.2695248478827643e+04  -8.6461563485087026e+01
1.0403303621749540e+00  1.2825996070442310e+04  1.0030040022390168e+02  -1.3012747646194186e+04  -8.6451175527974556e+01
1.0610579822381367e+00  1.3242547460658987e+04  1.0005492054004227e+02  -1.3429038772203094e+04  -8.6436391004064717e+01
1.0826188944211119e+00  1.3729874569627693e+04  9.9811108395467798e+01  -1.3916100876161607e+04  -8.6415198138445703e+01
1.1019135787049050e+00  1.4222664056686190e+04  9.9598621535820868e+01  -1.4408651982952726e+04  -8.6389304730715594e+01
1.1212747103057381e+00  1.4783246927078177e+04  9.9393080006322180e+01  -1.4968994091263761e+04  -8.6354084179261918e+01
1.1403677551846900e+00  1.5416609485936744e+04  9.9211130264464487e+01  -1.5602128434859520e+04  -8.6307818658311589e+01
1.1626067407549570e+00  1.6284679542316728e+04  9.9047641313988947e+01  -1.6469953860179052e+04  -8.6226676548334581e+01
1.1817410078245307e+00  1.7182637614045128e+04  9.8961879065833585e+01  -1.7367704316675430e+04  -8.6104823564466642e+01
1.2028931553479905e+00  1.8418056165290091e+04  9.8976913978134377e+01  -1.8602789986197826e+04  -8.5756906929600518e+01
1.2200098446664007e+00  1.9825715173686520e+04  1.0002302458253519e+02  -2.0010498955565075e+04  -8.4760757296018710e+01
1.2400717958414487e+00  2.1913986626219565e+04  2.4982847326474035e+02  -2.2096839574592716e+04  6.6975524891589885e+01
1.2600483726911851e+00  2.4803452909847918e+04  2.8167368063649104e+02  -2.4723259718972589e+04  3.6186687151181832e+02
